DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 -0.665	 0.015	 -13.7	 -0.2	 -23.5	 0.6	 5.9	 -0.110	 75.5	 0.000	 0.0	
2	 -0.716	 0.043	 -6.5	 2.3	 -28.7	 0.5	 5.9	 -0.120	 72.4	 0.000	 NaN	
3	 -0.722	 0.048	 -6.5	 2.5	 -28.7	 0.5	 5.8	 -0.130	 71.1	 0.000	 NaN	
4	 -0.719	 0.035	 -7.2	 2.6	 -27.1	 0.5	 5.7	 -0.140	 71.7	 0.000	 -0.0	
5	 -0.698	 0.022	 -8.8	 3.1	 -24.4	 0.4	 5.7	 -0.150	 71.7	 0.000	 -0.0	
6	 -0.489	 0.014	 -11.2	 1.5	 -18.3	 0.4	 5.6	 -0.160	 74.4	 0.000	 -0.0	
7	 -0.259	 0.014	 -6.1	 0.9	 -17.9	 0.4	 5.6	 -0.160	 81.6	 0.000	 -0.0	
8	 -0.692	 0.014	 -10.9	 1.6	 -21.5	 0.4	 5.5	 -0.170	 77.0	 0.000	 -0.0	
9	 -0.681	 0.019	 -8.4	 2.1	 -21.2	 0.4	 5.5	 -0.180	 71.4	 0.000	 -0.0	
10	 -0.449	 0.014	 -7.9	 1.8	 -13.5	 0.4	 5.4	 -0.180	 75.3	 0.000	 -0.0	
11	 -0.168	 0.014	 -9.9	 0.9	 -11.7	 0.4	 5.4	 -0.200	 82.7	 0.000	 -0.0	
12	 -0.384	 0.014	 -7.7	 3.8	 -8.7	 0.4	 5.3	 -0.200	 80.4	 0.000	 -0.0	
13	 -0.144	 0.014	 -10.9	 3.8	 -7.9	 0.4	 5.3	 -0.200	 91.0	 0.000	 -0.0	
