DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 -1.963	 0.028	 -8.4	 7.3	 -11.0	 1.1	 6.5	 0.070	 62.1	 0.000	 0.7	
2	 -1.981	 0.025	 -17.1	 1.8	 -13.3	 1.1	 6.5	 0.060	 88.5	 0.000	 0.7	
3	 -1.963	 0.027	 -11.8	 4.1	 -10.1	 1.0	 6.4	 0.060	 86.5	 0.040	 0.7	
4	 -2.438	 0.024	 -12.0	 -0.1	 -26.4	 1.0	 6.4	 0.050	 72.1	 0.000	 0.7	
5	 -2.015	 0.023	 -16.2	 -0.7	 -24.0	 0.9	 6.3	 0.040	 73.6	 0.000	 0.7	
6	 -1.820	 0.022	 -15.9	 0.7	 -19.9	 0.9	 6.3	 0.040	 71.7	 0.000	 NaN	
7	 -1.984	 0.023	 -16.7	 -0.7	 -23.3	 0.8	 6.2	 0.040	 69.8	 0.000	 NaN	
8	 -1.771	 0.020	 -18.6	 0.5	 -17.7	 0.8	 6.2	 0.060	 74.3	 0.060	 NaN	
9	 -1.848	 0.022	 -15.5	 1.1	 -20.3	 0.8	 6.1	 0.040	 72.0	 0.000	 NaN	
10	 -1.818	 0.022	 -14.1	 1.8	 -20.3	 0.7	 6.1	 0.040	 71.6	 0.000	 NaN	
11	 -1.880	 0.022	 -15.0	 0.9	 -20.8	 0.7	 6.0	 0.030	 74.1	 0.000	 NaN	
12	 -1.995	 0.023	 -15.2	 0.2	 -23.4	 0.7	 6.0	 0.030	 73.7	 0.000	 0.5	
13	 -1.747	 0.022	 -12.9	 2.6	 -18.8	 0.7	 5.9	 0.020	 67.0	 0.000	 NaN	
14	 -2.061	 0.018	 -12.3	 3.7	 -10.4	 0.6	 5.9	 0.020	 88.9	 0.000	 NaN	
15	 -1.528	 0.017	 -2.6	 9.6	 -4.7	 0.6	 5.8	 0.020	 78.3	 0.000	 NaN	
16	 -1.758	 0.020	 -11.4	 4.2	 -12.2	 0.6	 5.8	 0.020	 77.7	 0.000	 NaN	
17	 -2.009	 0.016	 -10.1	 6.0	 -3.7	 0.6	 5.7	 0.030	 91.9	 0.060	 NaN	
18	 -1.785	 0.018	 -10.0	 6.1	 -5.3	 0.6	 5.7	 0.020	 83.9	 0.000	 NaN	
19	 -2.035	 0.018	 -9.4	 5.5	 -6.5	 0.6	 5.6	 0.010	 87.4	 0.000	 NaN	
20	 -2.210	 0.016	 -9.7	 5.6	 -4.4	 0.6	 5.6	 0.010	 93.6	 0.000	 0.3	
21	 -2.241	 0.017	 -10.4	 5.0	 -5.8	 0.6	 5.6	 0.000	 91.7	 0.000	 NaN	
22	 -1.724	 0.019	 -4.8	 7.8	 -7.0	 0.5	 5.5	 0.000	 82.6	 0.000	 NaN	
23	 -1.263	 0.018	 -4.2	 10.8	 1.6	 0.5	 5.5	 0.000	 80.1	 0.000	 NaN	
