DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 -1.547	 0.020	 -15.0	 -2.9	 -29.9	 1.5	 6.4	 -0.090	 68.4	 0.000	 0.4	
2	 -1.607	 0.020	 -14.0	 -2.4	 -31.2	 1.4	 6.4	 -0.100	 65.3	 0.000	 0.4	
3	 -0.391	 0.021	 -18.8	 -0.7	 -16.7	 1.4	 6.3	 -0.080	 79.4	 0.060	 0.4	
4	 -0.931	 0.021	 -22.0	 -0.6	 -17.1	 1.3	 6.3	 -0.090	 74.0	 0.030	 0.4	
5	 -1.682	 0.020	 -17.6	 -3.2	 -30.7	 1.3	 6.2	 -0.110	 66.9	 0.000	 0.4	
6	 -1.307	 0.020	 -15.2	 -3.5	 -31.7	 1.2	 6.2	 -0.110	 66.0	 0.000	 0.4	
7	 -1.108	 0.020	 -15.9	 -2.4	 -26.6	 1.2	 6.1	 -0.110	 71.7	 0.000	 0.4	
8	 -1.082	 0.020	 -16.9	 -2.3	 -26.7	 1.1	 6.1	 -0.120	 72.9	 0.000	 0.4	
9	 -0.433	 0.021	 -14.5	 0.6	 -15.3	 1.1	 6.0	 -0.120	 75.5	 0.000	 0.4	
10	 0.420	 0.022	 -7.9	 -1.5	 -6.9	 1.1	 6.0	 -0.110	 95.5	 0.000	 0.4	
11	 0.445	 0.022	 -3.2	 -0.1	 -5.1	 1.0	 6.0	 -0.110	 95.1	 0.000	 0.4	
12	 0.812	 0.022	 -1.4	 4.7	 -3.0	 1.0	 5.9	 -0.100	 88.7	 0.000	 0.4	
13	 0.133	 0.024	 -13.8	 2.8	 -7.5	 1.0	 5.9	 -0.100	 75.6	 0.000	 0.4	
14	 -0.456	 0.024	 -15.1	 -0.7	 -14.9	 1.0	 5.8	 -0.110	 81.2	 0.000	 0.4	
15	 -0.336	 0.021	 -17.2	 -0.4	 -15.9	 0.9	 5.8	 -0.090	 83.7	 0.020	 0.4	
16	 -0.652	 0.024	 -11.8	 2.7	 -11.6	 0.9	 5.7	 -0.090	 80.6	 0.020	 0.4	
17	 -0.897	 0.020	 -16.7	 -0.1	 -19.1	 0.9	 5.7	 -0.100	 77.8	 0.000	 0.4	
18	 -0.134	 0.020	 -15.9	 1.8	 -11.2	 0.9	 5.7	 -0.090	 74.1	 0.000	 0.4	
19	 0.202	 0.025	 -10.5	 1.5	 -6.6	 0.9	 5.6	 -0.090	 83.5	 0.000	 0.4	
20	 -1.320	 0.021	 -22.2	 0.3	 -20.7	 0.9	 5.6	 -0.100	 64.4	 0.000	 0.4	
21	 -0.904	 0.020	 -16.1	 -1.7	 -25.0	 0.8	 5.5	 -0.100	 74.7	 0.000	 0.4	
22	 -1.671	 0.018	 -25.5	 -0.5	 -21.9	 0.8	 5.5	 -0.100	 71.8	 0.000	 0.4	
23	 -1.036	 0.019	 -17.5	 -1.7	 -25.6	 0.8	 5.5	 -0.110	 70.2	 0.000	 0.4	
24	 -0.446	 0.015	 -23.2	 1.9	 -9.6	 0.8	 5.4	 -0.110	 82.0	 0.040	 0.4	
