DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 -0.669	 0.000	 -11.4	 0.4	 -19.0	 1.1	 6.3	 -0.160	 84.8	 0.000	 0.2	
2	 -0.378	 0.000	 -9.3	 2.1	 -7.5	 1.0	 6.3	 -0.170	 92.6	 0.000	 0.2	
3	 -0.268	 0.000	 -15.0	 0.2	 -11.3	 1.0	 6.2	 -0.180	 84.1	 0.000	 0.2	
4	 -0.291	 0.000	 -18.1	 -0.8	 -8.1	 1.0	 6.2	 -0.180	 81.8	 0.000	 0.2	
5	 -0.481	 0.000	 -9.9	 0.6	 -12.0	 0.9	 6.1	 -0.190	 89.2	 0.000	 0.1	
6	 -0.577	 0.000	 -7.9	 1.8	 -10.9	 0.9	 6.1	 -0.190	 80.8	 0.000	 0.1	
7	 -0.142	 0.000	 -23.6	 3.6	 -4.3	 0.9	 6.0	 -0.200	 77.4	 0.000	 0.1	
8	 -0.423	 0.000	 -7.7	 3.1	 -6.9	 0.8	 6.0	 -0.200	 87.8	 0.020	 0.1	
9	 0.193	 0.000	 -12.1	 6.1	 -4.2	 0.8	 5.9	 -0.200	 79.6	 0.000	 0.1	
10	 -0.358	 0.000	 -5.2	 7.4	 0.1	 0.8	 5.9	 -0.180	 66.0	 0.100	 0.1	
11	 -0.025	 0.000	 -7.4	 7.8	 0.0	 0.8	 5.8	 -0.050	 98.3	 0.660	 0.1	
12	 -0.279	 0.000	 -11.2	 4.0	 -11.1	 0.8	 5.8	 -0.040	 81.8	 0.030	 0.2	
13	 -0.522	 0.000	 -5.1	 0.8	 -17.2	 0.7	 5.7	 -0.090	 79.4	 0.000	 0.2	
14	 -0.584	 0.000	 -7.8	 0.8	 -16.7	 0.7	 5.7	 -0.110	 76.8	 0.000	 0.2	
15	 -0.581	 0.000	 -10.6	 2.8	 -11.0	 0.7	 5.7	 -0.130	 70.0	 0.000	 0.2	
16	 -0.817	 0.000	 -15.0	 3.2	 -11.1	 0.7	 5.6	 -0.120	 73.8	 0.000	 0.2	
17	 -0.635	 0.000	 -8.8	 0.3	 -19.6	 0.7	 5.6	 -0.160	 70.7	 0.000	 0.2	
18	 -0.507	 0.000	 -12.0	 1.1	 -12.5	 0.7	 5.5	 -0.130	 85.8	 0.130	 0.2	
19	 -0.957	 0.000	 -12.9	 2.9	 -11.3	 0.7	 5.5	 -0.130	 84.0	 0.000	 0.2	
20	 -1.219	 0.000	 -17.7	 -0.8	 -23.2	 0.7	 5.5	 -0.150	 74.2	 0.000	 0.2	
21	 -1.424	 0.000	 -15.1	 -0.4	 -27.5	 0.6	 5.4	 -0.150	 67.9	 0.000	 0.1	
22	 -0.766	 0.000	 -12.8	 -1.0	 -27.5	 0.6	 5.4	 -0.160	 70.5	 0.000	 0.1	
23	 -1.401	 0.000	 -15.1	 0.4	 -22.6	 0.6	 5.3	 -0.170	 71.9	 0.000	 0.0	
24	 -0.873	 0.000	 -13.2	 -1.0	 -26.0	 0.5	 5.3	 -0.190	 68.3	 0.000	 0.0	
25	 -0.727	 0.000	 -14.0	 0.3	 -16.1	 0.5	 5.3	 -0.180	 79.8	 0.040	 0.0	
26	 -0.798	 0.000	 -11.6	 0.1	 -19.4	 0.5	 5.2	 -0.190	 72.1	 0.000	 0.0	
27	 -0.690	 0.000	 -7.2	 3.3	 -8.2	 0.5	 5.2	 -0.190	 73.3	 0.000	 0.0	
28	 -0.235	 0.000	 -3.7	 5.4	 -2.1	 0.4	 5.2	 -0.190	 91.0	 0.140	 0.0	
29	 -0.075	 0.000	 -8.2	 3.1	 -3.9	 0.4	 5.1	 -0.170	 91.6	 0.240	 0.0	
30	 -0.800	 0.000	 -9.7	 1.0	 -13.7	 0.4	 5.1	 -0.180	 82.3	 0.000	 0.0	
31	 -0.901	 0.000	 -16.6	 -0.6	 -20.6	 0.4	 5.1	 -0.180	 73.9	 0.000	 0.0	
32	 -0.820	 0.000	 -12.1	 -1.2	 -27.1	 0.4	 5.0	 -0.190	 68.6	 0.000	 0.0	
33	 -0.783	 0.000	 -11.6	 -0.4	 -22.1	 0.4	 5.0	 -0.190	 73.0	 0.000	 0.0	
34	 -1.056	 0.000	 -12.8	 0.2	 -19.2	 0.4	 4.9	 -0.190	 72.4	 0.000	 0.0	
35	 -0.897	 0.000	 -12.0	 0.0	 -23.6	 0.4	 4.9	 -0.190	 72.6	 0.020	 0.0	
36	 -0.655	 0.000	 -16.3	 0.4	 -12.7	 0.4	 4.9	 -0.190	 75.9	 0.020	 0.0	
37	 -0.552	 0.000	 -10.1	 1.0	 -11.5	 0.4	 4.8	 -0.200	 84.7	 0.090	 0.0	
38	 -0.753	 0.000	 -9.5	 1.3	 -10.5	 0.4	 4.8	 -0.200	 84.8	 0.000	 0.0	
39	 -0.692	 0.000	 -9.4	 3.8	 -10.3	 0.4	 4.8	 -0.200	 80.0	 0.000	 0.0	
40	 -0.356	 0.000	 -7.3	 2.9	 -5.9	 0.3	 4.7	 -0.200	 89.8	 0.000	 0.0	
41	 -0.613	 0.000	 -8.4	 3.3	 -4.0	 0.4	 4.7	 -0.160	 94.1	 0.310	 0.0	
42	 -0.633	 0.000	 -8.3	 3.3	 -6.9	 0.4	 4.7	 -0.150	 84.4	 0.000	 0.0	
43	 -0.386	 0.001	 -10.6	 4.6	 -7.6	 0.3	 4.7	 -0.160	 83.2	 0.000	 0.0	
44	 -0.492	 0.000	 -7.4	 4.5	 -6.1	 0.3	 4.6	 -0.160	 87.7	 0.000	 0.0	
45	 -0.737	 0.000	 -17.3	 3.6	 -9.2	 0.3	 4.6	 -0.170	 71.2	 0.000	 0.0	
46	 -0.701	 0.000	 -14.2	 0.5	 -15.2	 0.3	 4.6	 -0.200	 74.8	 0.000	 0.0	
47	 -0.694	 0.000	 -11.2	 1.2	 -15.2	 0.3	 4.5	 -0.190	 73.1	 0.000	 0.0	
48	 -0.664	 0.000	 -9.1	 3.0	 -9.7	 0.3	 4.5	 -0.180	 73.0	 0.000	 0.0	
49	 -0.794	 0.000	 -10.2	 2.5	 -8.1	 0.3	 4.5	 -0.180	 82.0	 0.020	 0.0	
50	 -1.270	 0.000	 -18.8	 2.1	 -19.3	 0.3	 4.5	 -0.200	 69.4	 0.000	 0.0	
51	 -1.056	 0.000	 -16.7	 0.8	 -18.5	 0.3	 4.4	 -0.200	 54.4	 0.000	 0.0	
52	 -1.139	 0.000	 -13.2	 2.3	 -15.2	 0.3	 4.4	 -0.200	 65.1	 0.000	 0.0	
53	 -0.346	 0.000	 -4.9	 3.5	 -7.0	 0.3	 4.4	 -0.200	 92.7	 0.010	 0.0	
54	 -0.643	 0.000	 -7.2	 3.9	 -5.7	 0.3	 4.3	 -0.200	 84.9	 0.000	 0.0	
55	 -0.363	 0.000	 -8.5	 4.7	 -8.7	 0.3	 4.3	 -0.210	 81.5	 0.000	 0.0	
56	 -0.582	 0.000	 -8.4	 4.0	 -9.2	 0.3	 4.3	 -0.220	 87.4	 0.000	 0.0	
57	 -1.113	 0.000	 -9.6	 15.7	 -13.3	 0.3	 4.3	 -0.220	 83.9	 0.000	 0.0	
58	 -1.094	 0.000	 -6.1	 14.4	 -1.2	 0.3	 4.3	 -0.220	 64.1	 0.000	 0.0	
59	 -0.601	 0.000	 -19.2	 10.4	 -2.6	 0.3	 4.2	 -0.230	 65.5	 0.000	 0.0	
60	 -0.491	 0.000	 -10.2	 8.0	 -5.0	 0.3	 4.2	 -0.230	 65.4	 0.000	 0.0	
61	 -0.864	 0.000	 -11.4	 4.7	 -9.6	 0.3	 4.2	 -0.240	 52.9	 0.000	 0.0	
62	 -0.764	 0.000	 -8.7	 3.5	 -12.9	 0.3	 4.2	 -0.240	 61.9	 0.000	 0.0	
63	 -0.699	 0.000	 -7.2	 6.2	 -5.4	 0.3	 4.1	 -0.240	 46.2	 0.000	 0.0	
64	 -0.832	 0.000	 -8.0	 5.6	 -5.0	 0.3	 4.1	 -0.220	 67.3	 0.090	 0.0	
65	 -0.383	 0.000	 -5.6	 3.4	 -6.8	 0.3	 4.1	 -0.220	 89.3	 0.300	 0.0	
