DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 -0.165	 0.017	 -6.9	 3.3	 -11.8	 0.4	 5.8	 -0.290	 80.1	 0.010	 NaN	
2	 -0.201	 0.016	 -9.3	 2.2	 -18.1	 0.4	 5.8	 -0.300	 75.1	 0.000	 NaN	
3	 -0.084	 0.018	 -7.4	 3.0	 -9.7	 0.4	 5.7	 -0.280	 89.9	 0.480	 NaN	
4	 -0.187	 0.015	 -13.3	 2.1	 -19.2	 0.4	 5.6	 -0.280	 76.3	 0.000	 NaN	
5	 -0.216	 0.013	 -21.4	 2.0	 -24.6	 0.4	 5.6	 -0.280	 75.1	 0.000	 NaN	
6	 -0.167	 0.017	 -9.4	 3.1	 -13.7	 0.4	 5.6	 -0.280	 81.9	 0.000	 NaN	
7	 -0.169	 0.017	 -6.8	 2.6	 -14.0	 0.4	 5.5	 -0.280	 84.6	 0.000	 NaN	
8	 -0.209	 0.015	 -14.7	 2.1	 -21.0	 0.4	 5.5	 -0.290	 80.3	 0.000	 NaN	
9	 -0.216	 0.014	 -18.0	 2.1	 -22.7	 0.4	 5.4	 -0.290	 74.2	 0.000	 NaN	
10	 -0.202	 0.016	 -11.9	 2.7	 -17.8	 0.3	 5.4	 -0.300	 72.7	 0.000	 NaN	
11	 -0.182	 0.017	 -7.0	 2.8	 -14.5	 0.3	 5.3	 -0.310	 79.9	 0.000	 NaN	
12	 -0.206	 0.016	 -12.6	 2.2	 -19.0	 0.3	 5.3	 -0.320	 76.4	 0.000	 NaN	
13	 -0.224	 0.012	 -26.5	 1.7	 -29.2	 0.3	 5.2	 -0.320	 67.7	 0.000	 NaN	
14	 -0.224	 0.012	 -23.4	 1.7	 -27.7	 0.3	 5.2	 -0.320	 69.0	 0.000	 NaN	
15	 -0.224	 0.012	 -22.3	 1.8	 -26.7	 0.2	 5.1	 -0.320	 65.7	 0.000	 NaN	
16	 -0.215	 0.013	 -21.9	 2.1	 -26.1	 0.2	 5.1	 -0.320	 66.2	 0.000	 NaN	
17	 -0.190	 0.017	 -5.9	 2.6	 -15.5	 0.2	 5.0	 -0.320	 82.0	 0.000	 NaN	
18	 -0.166	 0.018	 -4.9	 3.5	 -12.1	 0.2	 5.0	 -0.330	 85.5	 0.000	 NaN	
19	 -0.162	 0.018	 -5.0	 3.2	 -12.6	 0.2	 5.0	 -0.340	 86.6	 0.000	 NaN	
20	 -0.170	 0.018	 -5.3	 3.7	 -12.6	 0.2	 4.9	 -0.350	 80.8	 0.000	 NaN	
21	 -0.103	 0.018	 -1.5	 4.3	 -8.7	 0.2	 4.9	 -0.350	 91.3	 0.000	 NaN	
22	 0.004	 0.018	 -2.8	 3.6	 -7.3	 0.2	 4.9	 -0.350	 96.2	 0.000	 NaN	
23	 -0.527	 0.016	 -14.7	 1.4	 -16.7	 0.2	 4.8	 -0.350	 75.1	 0.000	 -0.0	
24	 0.040	 0.013	 -24.7	 1.0	 -23.5	 0.2	 4.8	 -0.360	 64.8	 0.000	 -0.0	
25	 -0.005	 0.013	 -20.8	 0.8	 -24.0	 0.2	 4.8	 -0.360	 65.8	 0.000	 -0.0	
26	 -0.168	 0.013	 -18.5	 1.7	 -24.2	 0.1	 4.7	 -0.370	 67.1	 0.000	 -0.0	
27	 -0.223	 0.013	 -13.6	 2.4	 -22.2	 0.1	 4.7	 -0.380	 59.4	 0.000	 -0.0	
28	 -0.206	 0.017	 -5.3	 2.8	 -16.4	 0.1	 4.6	 -0.380	 83.7	 0.000	 -0.0	
29	 -0.257	 0.016	 -12.8	 0.9	 -16.0	 0.1	 4.6	 -0.390	 75.8	 0.000	 -0.0	
30	 -0.173	 0.015	 -11.8	 2.7	 -19.9	 0.1	 4.6	 -0.390	 78.5	 0.000	 -0.0	
31	 -0.172	 0.018	 -3.7	 16.5	 -2.5	 0.1	 4.5	 -0.380	 80.8	 0.000	 -0.0	
32	 0.185	 0.019	 -23.8	 5.0	 -4.5	 0.1	 4.5	 -0.390	 68.1	 0.000	 -0.0	
33	 -0.320	 0.016	 -12.2	 0.5	 -18.5	 0.1	 4.5	 -0.400	 73.3	 0.000	 -0.0	
34	 -0.121	 0.016	 -13.9	 0.9	 -21.3	 0.1	 4.4	 -0.420	 76.6	 0.000	 -0.0	
35	 -0.221	 0.014	 -13.4	 2.9	 -21.1	 0.1	 4.4	 -0.410	 62.7	 0.000	 -0.0	
36	 0.168	 0.017	 -1.3	 5.6	 -11.3	 0.0	 4.4	 -0.410	 75.7	 0.000	 -0.0	
37	 0.163	 0.018	 0.7	 11.2	 -4.2	 0.0	 4.3	 -0.410	 79.1	 0.000	 -0.0	
38	 0.316	 0.018	 -12.1	 5.9	 -4.2	 0.1	 4.3	 -0.410	 80.1	 0.000	 -0.0	
39	 -0.120	 0.018	 2.6	 8.2	 -6.6	 0.1	 4.3	 -0.430	 81.6	 0.000	 -0.0	
40	 1.116	 0.018	 -5.8	 7.5	 -0.4	 0.1	 4.3	 -0.390	 88.8	 0.090	 -0.0	
41	 -0.255	 0.019	 -7.3	 8.2	 2.3	 0.1	 4.2	 -0.230	 97.3	 0.250	 NaN	
42	 0.752	 0.018	 -4.6	 4.6	 0.1	 0.1	 4.2	 -0.310	 98.1	 0.030	 NaN	
43	 0.656	 0.019	 -1.4	 7.9	 -4.2	 0.1	 4.2	 -0.340	 82.8	 0.000	 NaN	
44	 0.390	 0.018	 -1.4	 4.1	 -8.8	 0.2	 4.1	 -0.360	 79.1	 0.000	 NaN	
45	 0.003	 0.018	 -3.6	 3.6	 -14.1	 0.2	 4.1	 -0.370	 77.4	 0.000	 NaN	
46	 -0.035	 0.017	 -9.9	 3.1	 -16.7	 0.1	 4.1	 -0.380	 71.9	 0.000	 NaN	
47	 0.120	 0.019	 -1.5	 5.1	 -6.8	 0.1	 4.1	 -0.400	 81.0	 0.000	 NaN	
48	 0.362	 0.019	 3.3	 6.4	 -4.8	 0.1	 4.0	 -0.400	 85.0	 0.000	 NaN	
49	 0.140	 0.018	 -16.3	 2.2	 -15.6	 0.1	 4.0	 -0.410	 75.1	 0.000	 NaN	
50	 -0.233	 0.017	 -12.3	 2.3	 -18.4	 0.1	 4.0	 -0.430	 69.1	 0.000	 NaN	
51	 -0.120	 0.018	 -3.6	 4.1	 -15.3	 0.0	 4.0	 -0.440	 75.7	 0.000	 NaN	
52	 -0.246	 0.018	 -7.1	 2.6	 -12.6	 0.0	 3.9	 -0.440	 78.4	 0.000	 NaN	
53	 -0.218	 0.018	 -10.0	 3.2	 -14.4	 0.0	 3.9	 -0.440	 72.5	 0.000	 NaN	
54	 -0.159	 0.018	 -4.7	 5.1	 -14.7	 0.0	 3.9	 -0.440	 64.5	 0.000	 NaN	
55	 -0.284	 0.020	 7.3	 12.8	 -4.6	 0.0	 3.9	 -0.440	 64.3	 0.000	 NaN	
56	 0.369	 0.019	 0.1	 6.4	 -6.3	 0.1	 3.8	 -0.440	 78.9	 0.020	 NaN	
57	 0.329	 0.019	 -2.7	 3.3	 -13.9	 0.1	 3.8	 -0.440	 83.8	 0.010	 NaN	
58	 -0.299	 0.017	 -14.2	 1.6	 -21.1	 -0.0	 3.8	 -0.440	 66.6	 0.000	 NaN	
59	 -0.278	 0.017	 -19.8	 3.3	 -19.9	 -0.0	 3.8	 -0.450	 62.9	 0.000	 NaN	
60	 -0.335	 0.018	 -7.4	 2.8	 -18.5	 -0.1	 3.8	 -0.460	 65.3	 0.000	 NaN	
61	 -0.287	 0.018	 -6.1	 6.0	 -17.0	 -0.1	 3.7	 -0.460	 56.0	 0.000	 NaN	
62	 -0.204	 0.021	 2.8	 8.8	 -7.3	 -0.1	 3.7	 -0.460	 52.2	 0.000	 NaN	
63	 -0.223	 0.021	 8.1	 16.9	 -2.3	 -0.0	 3.7	 -0.460	 61.6	 0.000	 NaN	
64	 0.315	 0.021	 12.0	 23.1	 1.7	 0.0	 3.7	 -0.450	 71.6	 0.000	 NaN	
65	 0.746	 0.021	 -7.3	 16.3	 0.1	 0.0	 3.7	 -0.450	 74.9	 0.000	 NaN	
66	 0.138	 0.020	 2.7	 9.3	 -7.7	 0.0	 3.6	 -0.460	 66.9	 0.000	 NaN	
67	 -0.299	 0.021	 0.5	 12.0	 -6.7	 0.0	 3.6	 -0.470	 64.3	 0.000	 NaN	
68	 1.503	 0.020	 -2.0	 8.1	 -3.0	 0.0	 3.6	 -0.470	 85.1	 0.030	 NaN	
69	 0.771	 0.019	 -3.3	 4.3	 -8.4	 0.0	 3.6	 -0.460	 89.5	 0.050	 NaN	
70	 -0.486	 0.018	 -8.4	 2.9	 -20.3	 -0.0	 3.6	 -0.460	 65.5	 0.000	 NaN	
71	 -0.211	 0.018	 -9.1	 2.9	 -19.5	 -0.1	 3.5	 -0.480	 57.8	 0.000	 NaN	
72	 -0.795	 0.022	 6.4	 13.5	 -9.1	 -0.1	 3.5	 -0.480	 61.3	 0.000	 NaN	
73	 -0.986	 0.025	 24.3	 41.1	 2.2	 -0.0	 3.5	 -0.250	 58.7	 0.000	 NaN	
74	 -1.320	 0.026	 24.7	 53.5	 4.8	 0.0	 3.5	 -0.070	 70.5	 0.000	 NaN	
75	 -1.537	 0.027	 23.7	 55.3	 7.2	 -0.0	 3.4	 -0.030	 70.7	 0.000	 NaN	
76	 -0.400	 0.025	 -36.9	 19.2	 3.5	 -0.0	 3.4	 -0.030	 67.2	 0.000	 NaN	
77	 -0.009	 0.021	 -4.0	 25.1	 -3.7	 -0.0	 3.4	 -0.060	 64.9	 0.000	 NaN	
78	 -0.313	 0.020	 7.3	 11.3	 -8.5	 -0.0	 3.3	 -0.140	 60.9	 0.000	 NaN	
79	 -0.110	 0.023	 -1.8	 7.0	 -3.4	 0.0	 3.3	 -0.170	 84.5	 0.190	 NaN	
80	 -0.128	 0.025	 -4.5	 9.1	 1.8	 0.0	 3.3	 -0.110	 89.4	 0.000	 NaN	
81	 -0.441	 0.026	 9.8	 30.9	 1.9	 -0.0	 3.3	 -0.010	 73.8	 0.000	 NaN	
82	 0.186	 0.018	 -12.7	 5.9	 1.6	 -0.1	 3.2	 0.310	 96.1	 1.510	 NaN	
83	 0.207	 0.015	 -8.6	 8.3	 2.8	 -0.0	 3.1	 0.450	 95.2	 0.610	 NaN	
84	 0.145	 0.013	 1.8	 10.9	 -1.5	 -0.0	 3.1	 0.490	 92.0	 0.090	 NaN	
85	 0.132	 0.012	 12.9	 11.3	 -8.0	 0.0	 3.1	 0.480	 77.2	 0.000	 NaN	
86	 -0.107	 0.012	 16.9	 12.0	 -7.8	 0.1	 3.1	 0.460	 78.1	 0.000	 NaN	
87	 -0.190	 0.012	 11.5	 13.2	 -7.8	 0.1	 3.0	 0.450	 76.1	 0.000	 NaN	
88	 -0.084	 0.014	 22.2	 28.1	 -4.7	 0.1	 3.0	 0.480	 69.0	 0.000	 NaN	
89	 -0.749	 0.015	 6.9	 22.7	 -1.8	 0.1	 3.0	 0.470	 61.3	 0.000	 NaN	
90	 0.198	 0.014	 -4.5	 10.4	 -1.4	 0.1	 3.0	 0.460	 83.8	 0.270	 NaN	
91	 0.031	 0.014	 1.3	 10.2	 -1.2	 0.2	 3.0	 0.470	 92.6	 0.160	 NaN	
92	 0.414	 0.014	 -3.1	 9.5	 -1.4	 0.2	 3.0	 0.460	 81.4	 0.000	 NaN	
93	 0.484	 0.014	 -0.9	 9.1	 -0.3	 0.2	 3.0	 0.450	 77.7	 0.000	 NaN	
94	 -0.266	 0.015	 -5.4	 17.2	 -0.1	 0.2	 3.0	 0.440	 70.1	 0.000	 NaN	
95	 -0.431	 0.015	 -6.0	 36.4	 -2.0	 0.2	 2.9	 0.470	 59.2	 0.000	 NaN	
96	 -0.342	 0.016	 22.3	 41.1	 -1.7	 0.2	 2.9	 0.480	 48.7	 0.000	 NaN	
97	 -0.300	 0.017	 17.8	 42.6	 0.8	 0.1	 2.9	 0.530	 43.5	 0.000	 NaN	
98	 0.099	 0.015	 22.7	 48.9	 1.4	 0.1	 2.9	 0.550	 62.0	 0.000	 NaN	
99	 0.238	 0.015	 37.1	 52.7	 0.8	 0.1	 2.9	 0.560	 58.8	 0.000	 NaN	
100	 0.824	 0.016	 34.6	 52.5	 0.9	 0.2	 2.9	 0.560	 54.2	 0.000	 NaN	
101	 0.548	 0.017	 40.9	 75.5	 2.4	 0.3	 2.8	 0.560	 54.0	 0.000	 NaN	
102	 0.765	 0.017	 34.0	 80.2	 5.7	 0.5	 2.8	 0.570	 46.9	 0.000	 NaN	
103	 0.922	 0.018	 28.3	 71.4	 6.6	 0.9	 2.8	 0.570	 40.1	 0.000	 NaN	
104	 0.891	 0.018	 24.1	 70.3	 6.4	 1.4	 2.8	 0.570	 39.6	 0.000	 NaN	
105	 1.666	 0.020	 39.8	 113.2	 8.7	 2.0	 2.8	 0.570	 32.6	 0.000	 NaN	
106	 1.449	 0.019	 33.3	 100.0	 9.7	 2.5	 2.8	 0.560	 40.3	 0.000	 NaN	
107	 0.347	 0.019	 16.1	 71.4	 12.5	 3.0	 2.8	 0.550	 59.9	 0.000	 NaN	
108	 -0.267	 0.016	 20.8	 31.3	 4.7	 3.5	 2.8	 0.550	 80.8	 0.000	 NaN	
109	 -0.027	 0.016	 13.2	 23.0	 3.6	 3.5	 2.8	 0.530	 85.6	 0.000	 NaN	
110	 -1.344	 0.016	 13.7	 39.5	 2.2	 3.6	 2.8	 0.510	 83.4	 0.000	 NaN	
111	 -0.366	 0.019	 20.5	 81.4	 5.8	 3.6	 2.8	 0.500	 56.4	 0.000	 NaN	
112	 -0.202	 0.019	 35.0	 72.7	 5.4	 3.9	 2.8	 0.480	 50.2	 0.000	 NaN	
113	 1.067	 0.024	 36.4	 117.7	 13.7	 4.5	 2.8	 0.460	 42.6	 0.000	 0.3	
114	 -0.337	 0.017	 0.7	 20.5	 4.7	 5.3	 2.9	 0.470	 86.7	 0.230	 0.4	
115	 -0.408	 0.015	 45.2	 75.0	 2.8	 4.8	 2.9	 0.470	 58.6	 0.000	 0.5	
116	 -0.665	 0.012	 -0.0	 17.1	 1.6	 4.8	 2.9	 0.510	 77.6	 0.260	 0.5	
117	 -0.332	 0.012	 13.8	 33.4	 3.3	 4.3	 3.0	 0.510	 83.2	 0.010	 0.5	
118	 -0.106	 0.016	 42.8	 90.0	 6.0	 4.5	 3.0	 0.490	 62.3	 0.000	 NaN	
119	 -0.270	 0.017	 11.7	 39.3	 5.4	 4.9	 3.1	 0.520	 72.6	 0.290	 NaN	
