DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 -1.104	 0.030	 -6.5	 7.5	 -6.2	 0.7	 6.5	 -0.050	 76.6	 0.000	 0.7	
2	 -1.167	 0.019	 -6.7	 5.6	 -14.0	 0.6	 6.5	 -0.050	 67.9	 0.000	 0.7	
3	 -0.808	 0.024	 -2.6	 7.1	 -11.2	 0.6	 6.4	 -0.050	 69.0	 0.000	 0.7	
4	 -0.249	 0.024	 -2.5	 5.5	 -5.3	 0.6	 6.3	 -0.060	 83.4	 0.000	 0.6	
5	 -0.235	 0.034	 -18.0	 9.7	 0.9	 0.6	 6.3	 -0.060	 72.8	 0.000	 0.6	
6	 -0.004	 0.036	 -18.1	 7.6	 1.5	 0.6	 6.2	 -0.070	 76.9	 0.000	 0.6	
7	 -0.352	 0.029	 -3.9	 4.7	 -4.6	 0.6	 6.2	 -0.080	 84.4	 0.000	 0.6	
8	 -0.538	 0.027	 -6.1	 9.2	 -2.8	 0.6	 6.1	 -0.080	 78.0	 0.000	 0.7	
9	 0.111	 0.030	 -9.9	 8.5	 1.1	 0.6	 6.1	 -0.070	 69.6	 0.000	 0.7	
10	 -0.079	 0.027	 -0.6	 8.6	 -0.6	 0.6	 6.0	 -0.080	 85.1	 0.000	 0.6	
11	 -1.837	 0.028	 0.8	 4.2	 -7.1	 0.5	 6.0	 -0.090	 88.3	 0.020	 0.6	
12	 -1.597	 0.018	 15.5	 6.7	 -15.6	 0.5	 5.9	 -0.090	 81.8	 0.000	 0.6	
13	 -1.119	 0.018	 3.6	 2.7	 -15.3	 0.4	 5.9	 -0.090	 82.5	 0.000	 0.5	
14	 -0.961	 0.020	 -7.4	 1.9	 -13.4	 0.4	 5.8	 -0.100	 84.4	 0.000	 0.4	
15	 -0.677	 0.024	 -0.4	 9.4	 -4.7	 0.4	 5.8	 -0.100	 79.6	 0.000	 0.3	
16	 -1.129	 0.021	 7.6	 4.3	 -9.8	 0.4	 5.7	 -0.100	 78.8	 0.000	 0.2	
17	 -1.129	 0.016	 11.7	 4.5	 -18.9	 0.3	 5.7	 -0.120	 74.7	 0.000	 0.1	
18	 -1.823	 0.018	 -7.3	 2.0	 -21.0	 0.2	 5.6	 -0.110	 76.8	 0.000	 0.1	
19	 -0.990	 0.017	 -3.3	 2.8	 -24.4	 0.2	 5.6	 -0.120	 61.2	 0.000	 0.1	
20	 -0.876	 0.018	 -14.3	 2.9	 -22.2	 0.1	 5.5	 -0.130	 68.8	 0.000	 0.1	
21	 -1.050	 0.019	 -12.9	 1.3	 -17.8	 0.1	 5.5	 -0.130	 73.1	 0.000	 0.0	
22	 -0.522	 0.021	 -6.2	 1.2	 -7.0	 0.1	 5.4	 -0.130	 91.1	 0.110	 0.0	
23	 -0.702	 0.025	 -5.3	 1.9	 -7.7	 0.1	 5.4	 -0.120	 91.6	 0.040	 0.0	
24	 -0.707	 0.023	 -2.7	 1.8	 -8.9	 0.1	 5.3	 -0.130	 84.4	 0.000	 0.0	
25	 -0.519	 0.023	 -6.9	 3.5	 -4.2	 0.1	 5.3	 -0.130	 90.5	 0.000	 0.0	
26	 -0.135	 0.028	 -12.7	 2.9	 -2.2	 0.1	 5.2	 -0.130	 82.9	 0.000	 0.0	
