DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 0.662	 0.017	 -15.5	 -3.1	 -16.0	 2.0	 6.4	 0.050	 84.0	 0.050	 1.0	
2	 1.392	 0.017	 -18.1	 -3.7	 -20.5	 2.0	 6.4	 0.050	 77.2	 0.000	 1.0	
3	 3.060	 0.019	 -17.3	 -6.7	 -27.0	 1.9	 6.4	 0.040	 77.2	 0.000	 1.0	
4	 1.902	 0.019	 -15.5	 -4.2	 -21.0	 1.9	 6.3	 0.030	 81.8	 0.000	 1.0	
5	 0.469	 0.020	 -15.6	 -4.1	 -15.0	 1.8	 6.3	 0.030	 84.7	 0.010	 1.0	
6	 1.559	 0.018	 -11.7	 -5.5	 -19.1	 1.8	 6.2	 0.020	 86.5	 0.000	 1.0	
7	 0.451	 0.016	 -7.1	 0.6	 -15.4	 1.7	 6.2	 0.020	 82.1	 0.000	 1.0	
8	 0.684	 0.015	 -19.6	 -3.4	 -20.2	 1.7	 6.1	 0.020	 79.9	 0.000	 1.0	
9	 2.522	 0.020	 -16.6	 -3.6	 -22.9	 1.6	 6.1	 0.010	 77.9	 0.000	 1.0	
10	 0.661	 0.021	 -13.9	 -2.1	 -15.1	 1.6	 6.0	 0.000	 84.9	 0.000	 1.0	
11	 0.113	 0.017	 -11.7	 -4.0	 -10.0	 1.5	 6.0	 0.000	 90.3	 0.020	 1.0	
12	 -0.137	 0.018	 -11.0	 -1.8	 -10.3	 1.5	 6.0	 -0.010	 83.8	 0.000	 1.0	
13	 -0.309	 0.023	 -10.3	 -1.6	 -10.1	 1.4	 5.9	 -0.010	 86.1	 0.020	 1.0	
14	 0.114	 0.022	 -13.2	 -4.8	 -11.9	 1.4	 5.9	 0.000	 90.5	 0.110	 1.0	
15	 0.980	 0.016	 -20.9	 -4.3	 -18.8	 1.4	 5.8	 0.000	 81.9	 0.000	 1.0	
16	 0.937	 0.020	 -15.3	 -3.3	 -20.1	 1.4	 5.8	 0.000	 79.0	 0.000	 1.0	
17	 -0.067	 0.020	 -12.6	 -2.6	 -12.6	 1.3	 5.8	 0.000	 85.7	 0.120	 1.0	
18	 0.537	 0.014	 -11.3	 -1.0	 -20.4	 1.3	 5.7	 0.000	 77.6	 0.000	 1.0	
19	 0.440	 0.019	 -14.6	 -1.3	 -18.6	 1.3	 5.7	 -0.010	 77.2	 0.000	 1.0	
20	 0.723	 0.016	 -19.5	 -4.2	 -22.8	 1.3	 5.6	 -0.010	 74.5	 0.000	 1.0	
